05-28 02:57:50.210   806  1694 I ActivityTaskManager: START u0 {flg=0x10000 cmp=com.redflix.tvmoderno/com.redx.tvbox.ExoPlayerActivity (has extras)} from uid 10165
05-28 02:57:50.336   806  1694 D ResourceManagerService: onResumeTopActivity com.redflix.tvmoderno, Intent { flg=0x10000 cmp=com.redflix.tvmoderno/com.redx.tvbox.ExoPlayerActivity (has extras) }, ComponentInfo{com.redflix.tvmoderno/com.redx.tvbox.ExoPlayerActivity}
05-28 02:57:50.336   806  1694 I ActivityTaskManager: gc_tuning enable system_server's gc tuning when start activity com.redflix.tvmoderno
05-28 02:57:50.336   806  1694 I ActivityTaskManager: gc_tuning enable com.redflix.tvmoderno gc tuning when start activity
05-28 02:57:50.336   806  1694 W ActivityTaskManager: Tried to set launchTime (0) < mLastActivityLaunchTime (29766061)
05-28 02:57:51.584  2078  2130 P Quality : 09 03 info 1779947871583 procName:com.redflix.tvmoderno 2 what:159,obj:android.app.servertransaction.ClientTransaction@139b627a,target:android.app.ActivityThread$H $ latencyTime:1,WallTime:1211 android.os.MessageQueue.nativePollOnce:-2,android.os.MessageQueue.next:335,android.os.Looper.loop:200,android.app.ActivityThread.main:7848,java.lang.reflect.Method.invoke:-2,com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run:592,com.android.internal.os.ZygoteInit.main:1070, allocWait:0,ionwait:0,dstate:0,sched:0,iowait:0 $ com.redflix.tvmoderno/com.redx.tvbox.ExoPlayerActivity
05-28 02:57:51.762   806   847 I ActivityTaskManager: gc_tuning disable system_server's gc tuning after com.redflix.tvmoderno shown
05-28 02:57:51.943   806  2086 W ActivityTaskManager: ActivityRecord idle mService.getTclHandler() = Handler (com.android.server.wm.TclActivityTaskManagerService$MainHandler) {4028e34}      r.occludesParent = true,r.isResumedActivityOnDisplay():true
05-28 02:57:51.943   806  2086 W ActivityTaskManager: ActivityRecord idle....com.redflix.tvmoderno====name = 101=====msg.obj = com.redflix.tvmoderno
05-28 02:57:51.944   806   846 W TclActivityTaskManagerService: amati platform ,actionForIdelActivity not set source
05-28 02:57:52.378   376   376 E RHWC2   : fox1 [rtk_gdma_post 1530 ]name_of_layer = com.redflix.tvmoderno/com.redx.tvbox.ExoPlayerActivity#0 num_of_layers=1
05-28 02:57:52.480   376   376 E RHWC2   : fox1 [rtk_gdma_post 1530 ]name_of_layer = com.redflix.tvmoderno/com.redx.tvbox.ExoPlayerActivity#0 num_of_layers=1
05-28 02:57:52.579   376   376 E RHWC2   : fox1 [rtk_gdma_post 1530 ]name_of_layer = com.redflix.tvmoderno/com.redx.tvbox.ExoPlayerActivity#0 num_of_layers=1
05-28 02:57:52.595  2078  2078 I RED-X-Player: [RED_EXOPLAYER] onVideoSizeChanged: 1280x720
05-28 02:57:52.597  2078  2078 I RED-X-Player: [RED_EXOPLAYER] onRenderedFirstFrame! First video frame rendered.
05-28 02:57:52.695   376   376 E RHWC2   : fox1 [rtk_gdma_post 1530 ]name_of_layer = com.redflix.tvmoderno/com.redx.tvbox.ExoPlayerActivity#0 num_of_layers=1
05-28 02:57:52.711   376   376 E RHWC2   : fox1 [rtk_gdma_post 1530 ]name_of_layer = com.redflix.tvmoderno/com.redx.tvbox.ExoPlayerActivity#0 num_of_layers=1
